dataset,variant,model,number users,number items,number interactions,avg. user degree,avg. item degree,rmse_mean,sparsity_mean,Precision@10_mean,Recall@10_mean,NDCG@10_mean,MRR@10_mean,rmse_sd,sparsity_sd,Precision@10_sd,Recall@10_sd,NDCG@10_sd,MRR@10_sd
lastfm,kcore5_sizematch_kcore50_seed44,LightGCN,10378,58229,1110235,106.9796685296,19.0667021587,,0.9981627768203202,0.036355785837651124,0.36355785837651117,0.21336793121384226,0.16744324927615084,,0.0,0.0004718342186250544,0.004718342186250542,0.0015454800673024237,0.0008191754057263822
lastfm,kcore5_sizematch_kcore50_seed44,MultiVAE,10378,58229,1110235,106.9796685296,19.0667021587,,0.9981627768203202,0.021406270758602366,0.21406270758602364,0.12246670006816028,0.09459219297302197,,0.0,0.0001589062536721886,0.0015890625367219063,0.002200786565842513,0.0023505056706675954
lastfm,kcore5_sizematch_kcore50_seed44,NeuMF,10378,58229,1110235,106.9796685296,19.0667021587,,0.9981627768203202,0.03635910721402949,0.3635910721402949,0.20192751531682118,0.1526716518944498,,0.0,0.00023304136236600715,0.0023304136236601066,0.0019406667614404207,0.002048812653396273
ml20m,kcore10_sizematch_kcore50_seed42,BPR,55697,7100,2546697,45.724132359,358.6897183099,,0.9935599813578854,0.03594711388829036,0.35947113888290355,0.19615712783100633,0.14665800080716046,,0.0,0.0002375364961373397,0.0023753649613733846,0.0020873450296369006,0.002070626630464491
ml20m,kcore10_sizematch_kcore50_seed42,ItemKNN,55697,7100,2546697,45.724132359,358.6897183099,,0.9935599813578854,0.04082513347219229,0.408251334721923,0.22943827914477088,0.174873876426164,,0.0,5.260598718920534e-05,0.0005260598718920425,0.0001374266864829514,9.605064299717653e-05
ml20m,kcore10_sizematch_kcore50_seed42,LightGCN,55697,7100,2546697,45.724132359,358.6897183099,,0.9935599813578854,0.03769601857837152,0.3769601857837152,0.20296728279869858,0.1501603656657345,,0.0,0.00019665058495028708,0.001966505849502907,0.0008590226774056939,0.0006804637868156126
ml20m,kcore10_sizematch_kcore50_seed42,MultiVAE,55697,7100,2546697,45.724132359,358.6897183099,,0.9935599813578854,0.027704757116521827,0.2770475711652182,0.15316550798176523,0.1155835601097039,,0.0,0.0033564070354590468,0.03356407035459048,0.0177549848093342,0.012925544373753595
ml20m,kcore10_sizematch_kcore50_seed42,NeuMF,55697,7100,2546697,45.724132359,358.6897183099,,0.9935599813578854,0.041057363116186636,0.41057363116186646,0.22103140321977313,0.16346934785310138,,0.0,0.00012104372369794574,0.0012104372369794042,0.0011189480990133986,0.0012433516739789679
ml20m,kcore10_sizematch_kcore50_seed43,BPR,55697,7100,2647566,47.5351634738,372.8966197183,,0.9933049065529865,0.03531851479459925,0.3531851479459925,0.19009130696097729,0.1407084556906806,,0.0,0.0003252164395143235,0.0032521643951432377,0.0018730224129635336,0.0014977916376260002
ml20m,kcore10_sizematch_kcore50_seed43,ItemKNN,55697,7100,2647566,47.5351634738,372.8966197183,,0.9933049065529865,0.04066719333524849,0.4066719333524849,0.22372191471533534,0.16799310153455874,,0.0,8.346480392968396e-05,0.0008346480392968429,0.0005137985643126136,0.0005130158299117343
